,grammar,content,count
177,句子成分补语可能补语,动词+得/不+动词/形容词 动词+得/不+了,0
178,句子成分补语程度补语,形容词/心理动词+得很/极了/死了,0
179,句子成分补语数量补语,宾语和动量补语共现,0
180,句子成分补语数量补语,表示动作持续的时间,0
181,句子成分补语数量补语,表示动作结束后到某个时间点的间隔时间,0
182,句子的类型句型主谓句,主谓谓语句,0
183,"句子的类型特殊句型""把”字句",主语+把+宾语+动词+在/到+处所、主语+把+宾语1 +动词(+给)+宾语2、语+把+宾语+动词+结果补语/趋向补语/状态补语,0
184,句子的类型特殊句型被动句,主语+被/叫/让+宾语+动词+其他成分,0
185,句子的类型特殊句型连动句,前一动作是后一动作的方式、后一动作是前一动作的目的,0
186,句子的类型特殊句型兼语句,主语+叫/派/请/让……+宾语1+动词+宾语2,0
187,句子的类型特殊句型比较句,A比B +动词+得+形容词、A不比B +形容词、A+动词+得+比+ B +形容词、A比B +多/少/早/晚+动词+数量短语,0
188,句子的类型特殊句型重动词,主语+动词+宾语+动词+补语,0
189,句子的类型复句并列复句,（也）……，也……,195
190,句子的类型复句并列复句,—会儿……，一会儿……,0
191,句子的类型复句并列复句,一方面……，另一方面……,0
192,句子的类型复句并列复句,"又……,又……",0
193,句子的类型复句承接复句,首先……，然后……,176
194,句子的类型复句递进复句,……，并且……,88
195,句子的类型复句递进复句,不仅/不光……，还/而且……,0
196,句子的类型复句选择复句,"不是……,就是……",2
197,句子的类型复句转折复句,"……X是X,就是/不过……",95
198,句子的类型复句假设复句,要是……，就……,28
199,句子的类型复句条件复句,只有……，才……,35
200,句子的类型复句因果复句,（由于）……，所以/因此……,138
201,句子的类型复句目的复句,为了……，……,86
202,句子的类型复句紧缩复句,……了……（就）……,1353
203,特殊表达法概数表示法,用“大概、大约、几”表示概数、相邻数词连用表示概数、用“左右、前后”表示概数,0
204,强调的方法,用“一点儿也不……”表示强调,0
205,强调的方法,用反问句表示强调,0
206,强调的方法,用“是”强调,0
207,提问的方法,用疑问语调表示疑问,0
208,口语格式,都……了,0
209,口语格式,X就X （点儿）吧,0
210,口语格式,X什么（啊）,0
211,词类动词能愿动词,得,0
212,词类代词人称代词,人家,0
213,词类量词名量词,打、袋、根、卷、棵、批,0
214,词类量词借用量词,碗、脸、手、屋子、桌子、刀、针,45
215,词类副词程度副词,格外、极、极其,0
216,词类副词范围、协同副词,共,0
217,词类副词时间副词,按时、即将、急忙、渐渐、尽快,0
218,词类副词频率、重复副词,一再、再三,0
219,词类副词关联副词,却,0
220,词类副词否定副词,未必,0
221,词类副词情态副词,几乎、似乎,0
222,词类副词语气副词,的确、反而、还\竟然、究竟,0
223,词类介词引出时间、处所,自,0
224,词类介词引出对象,对于,0
225,词类介词引出对象,关于,0
226,词类介词引出对象,替,0
